student_id,age,gender,previous_grade,attendance_rate,assignments_completed,test_scores_avg,days_absent_last_term,late_arrivals,disciplinary_incidents,parent_education_level,family_income_level,has_internet_access,is_dropout,Class
24,15,0,55.09037925673835,43.05952008450248,84.35771212444027,70.91008242592773,4,2,2,5,3,0,0,Non-Dropout
25,18,1,59.002655889707334,59.61894384308771,100.0,74.26413264814084,7,1,0,3,2,1,0,Non-Dropout
26,10,1,73.037755025074,90.89733425376218,80.32073233949174,46.907728821937894,8,6,0,5,1,0,0,Non-Dropout
27,19,1,59.90840522303287,67.14342892164748,85.6308467116768,63.458989648274596,3,1,2,4,2,1,0,Non-Dropout
28,12,0,53.742055727692644,96.44883190319848,86.91793118375814,76.99300373757819,4,4,1,3,4,1,0,Non-Dropout
29,16,0,64.9856994312019,88.86270404125655,70.57714151738845,40.961130528873724,6,5,2,2,3,0,0,Non-Dropout
30,13,0,81.61185396003427,76.00905546744063,59.59669777157525,63.6827928701784,4,3,0,1,2,0,0,Non-Dropout
31,18,1,67.02662100701096,96.9209281884063,71.8669151802207,42.69611787733217,5,1,2,2,2,0,0,Non-Dropout
32,12,0,60.85673005999359,100.0,53.64259953319763,52.80594621941491,6,3,0,4,3,1,0,Non-Dropout
33,14,0,69.80647689420148,84.08774540851556,54.07259936505898,66.28346838519208,2,5,2,4,5,0,0,Non-Dropout
34,12,1,66.26058813574801,79.59934227244258,79.20088936375532,61.740022556225725,11,0,1,4,3,0,0,Non-Dropout
35,16,1,35.995444384854835,87.66737618549925,58.04438133698285,47.89088152970348,5,2,1,4,4,1,0,Non-Dropout
36,14,0,75.45138714528738,46.86826625255181,100.0,83.32106039580775,5,3,1,1,3,1,0,Non-Dropout
37,18,1,71.11187659920664,72.6485707264787,73.66357161085755,59.995134679673775,5,2,4,4,1,1,0,Non-Dropout
38,16,1,65.24257698418619,74.52018980567215,100.0,73.24834254113027,3,4,1,1,3,1,0,Non-Dropout
39,11,1,80.9353505108438,67.62511378286871,38.87264025551893,87.52645181016419,4,5,1,2,3,1,0,Non-Dropout
40,13,1,83.19499046375297,59.210084105372886,39.63781097902448,54.853732025471004,8,3,1,5,2,1,0,Non-Dropout
41,18,0,76.98152992210328,94.96090443271954,67.22328105365332,74.23415198349518,6,3,2,3,5,1,0,Non-Dropout
42,11,1,52.24548775946699,78.40116383087832,93.4191695457318,71.22745910677347,6,2,0,3,2,0,0,Non-Dropout
43,19,0,52.764333340595606,80.21981464384818,57.748553730335544,44.15679202179507,7,3,1,2,1,1,0,Non-Dropout
44,18,0,81.76003310002974,100.0,67.49057841318555,83.1085443334227,5,4,2,3,2,1,0,Non-Dropout
45,19,0,36.841641095822,71.09343289486252,94.99813539503529,66.51408806967294,8,2,0,3,2,0,0,Non-Dropout
46,14,0,62.767287272568296,67.22441513578396,60.299286502186774,57.0074660286943,5,3,1,2,4,0,0,Non-Dropout
47,11,1,71.59738710546624,100.0,51.062040095245024,40.70565165098847,2,2,2,2,1,0,0,Non-Dropout
48,13,1,38.743883968287435,45.185212405689285,87.70980864941575,45.885808023805794,1,3,0,1,4,1,0,Non-Dropout
49,16,1,68.51514858275449,76.02382239959796,37.39909948276812,63.37223568052792,6,3,1,2,2,1,0,Non-Dropout
50,17,0,79.31643614878928,60.2471513308517,60.65839644277602,44.93211692598979,8,2,1,3,3,0,0,Non-Dropout
51,12,0,42.71635894844786,80.85358237643672,72.85690851015794,74.49119778794812,6,7,0,5,2,0,0,Non-Dropout
52,10,0,89.87255310041238,86.43929869442881,83.22547846366193,59.314652663755965,4,5,2,2,2,1,0,Non-Dropout
53,13,1,49.85254885851635,87.5518146456809,90.56620054244155,41.5788024305518,6,1,0,3,3,1,0,Non-Dropout
54,11,0,73.62104369715544,95.52478163796954,94.46632388536479,55.05577865828369,4,2,1,1,2,0,0,Non-Dropout
55,17,1,63.746053574620504,69.94945346378269,62.43815354018825,49.05664689645407,2,3,2,2,2,0,0,Non-Dropout
56,13,1,66.04273435550677,71.19557435725436,93.93783154804494,46.637977032420395,2,3,3,2,1,1,0,Non-Dropout
57,11,1,45.74757296488765,85.53204428703539,82.65373140443143,31.77288843725446,2,2,2,2,1,0,0,Non-Dropout
58,15,1,83.90709443529589,92.75003386612245,88.03018278218673,66.4926478321957,7,4,1,2,2,1,0,Non-Dropout
59,15,0,69.8882519502535,48.99392365723291,54.155447605260186,50.692477128828486,4,3,1,5,3,1,0,Non-Dropout
60,19,1,89.31260265354734,81.28242349359356,86.62770138144252,93.14929466874267,6,3,0,2,2,0,0,Non-Dropout
61,13,0,46.13874169131459,67.09511349143645,66.18124513313941,79.88863195544741,5,1,0,4,4,0,0,Non-Dropout
62,15,1,62.28148049181959,76.74305140768722,71.19670817912973,89.47216002687199,4,4,2,2,4,1,0,Non-Dropout
63,11,0,68.14293859553311,67.86622693424549,74.12853975108428,75.73334083499174,2,2,2,3,1,1,0,Non-Dropout
64,19,0,65.90574720942386,60.5450678741543,100.0,56.230508743893814,6,3,1,5,5,0,0,Non-Dropout
65,11,1,75.0017801700863,54.629534743535544,47.128608116018775,69.86124119700617,5,1,1,2,2,0,0,Non-Dropout
66,19,1,62.09122187114186,71.9795197005943,99.73291008919315,60.45863684343786,3,3,1,2,1,0,0,Non-Dropout
67,13,1,96.83039069451029,82.16811583511792,100.0,70.10942631338071,5,3,1,5,2,0,0,Non-Dropout
68,17,0,65.59763483282269,62.93984399852539,90.63972291947252,78.36911515143495,1,2,0,4,1,0,0,Non-Dropout
69,16,1,21.737683463564984,98.79623933733747,56.61372777175757,73.96202174988703,4,3,0,3,4,0,0,Non-Dropout
70,18,1,66.26301512509058,100.0,100.0,65.1251379366154,6,3,1,2,1,1,0,Non-Dropout
71,17,0,83.92195977299275,83.26250241967888,61.699652686529596,65.98743594923992,1,4,2,3,2,0,0,Non-Dropout
72,14,1,51.15040847224199,74.1752895090663,87.17796665891743,68.29401115975857,5,1,0,4,1,0,0,Non-Dropout
73,11,0,50.19867216243145,56.754745191506665,73.02286073616345,81.58763444900188,4,4,1,3,4,1,0,Non-Dropout
74,14,1,52.394154404906146,82.40116176735958,60.77125164351871,57.655026906602366,7,2,1,3,2,0,0,Non-Dropout
75,17,0,48.85284785034307,100.0,83.6671015930826,61.1192430023481,8,2,2,2,3,0,0,Non-Dropout
76,19,0,57.80897429441009,100.0,100.0,57.387934279267405,3,0,2,3,3,1,0,Non-Dropout
77,18,1,78.63945839523831,100.0,76.40863387201412,67.05949352164315,4,7,1,2,1,0,0,Non-Dropout
78,18,0,87.8949909261904,91.86619256612218,100.0,74.55030693414282,8,4,0,1,2,1,0,Non-Dropout
79,10,1,28.636245140941995,83.20386740094327,65.41795808743146,69.49480485866675,1,5,1,2,2,0,0,Non-Dropout
80,18,1,59.32318019633814,54.02663938239232,71.93537389338368,64.13487003219178,5,2,0,2,3,1,0,Non-Dropout
81,16,0,69.54046991565099,73.00556904339723,39.35521287047631,81.0915838323235,9,0,2,4,4,1,0,Non-Dropout
82,18,1,68.04017545077787,70.6824372505775,56.05404387170755,53.0867363905615,5,2,0,1,1,0,0,Non-Dropout
83,17,0,93.49909499934334,73.13591929185493,64.54074799575706,42.502937532798484,3,4,0,2,2,1,0,Non-Dropout
84,10,0,34.83959135626899,60.61175574346396,61.7739037035531,69.82327820519683,3,0,1,2,1,0,0,Non-Dropout
85,17,0,26.164040979672507,90.15723936872753,45.99394828989585,64.39610262568827,4,3,0,1,4,1,0,Non-Dropout
86,17,0,95.93318786057384,69.52270413185913,50.953872575546455,62.493110545104415,3,5,1,2,4,1,0,Non-Dropout
87,12,0,76.30150539871005,67.89939185713001,62.83524686074447,45.20806786978065,4,1,3,5,2,0,0,Non-Dropout
88,10,0,56.42942619570635,60.6794675157787,99.66346391120342,67.97903239760079,9,3,0,2,2,1,0,Non-Dropout
89,17,0,67.57398159601932,79.6459997654874,32.61048559533348,91.92610484941343,7,4,0,2,3,1,0,Non-Dropout
90,12,0,68.648264338416,100.0,17.945523424157635,45.02686442287782,5,3,2,3,5,0,0,Non-Dropout
91,12,1,56.06718814496031,74.79583406778924,25.979311676037447,62.643479026772944,5,3,2,3,5,0,0,Non-Dropout
92,10,1,67.12667556037151,80.63481096932577,48.81501351995225,66.13239216538311,2,2,4,2,2,0,0,Non-Dropout
93,14,0,70.32220061990179,100.0,85.92425195660208,58.34098847456629,7,2,2,1,4,0,0,Non-Dropout
94,19,1,95.23295392044238,99.0688507850258,61.092293874441836,67.46605316172263,3,7,1,4,2,1,0,Non-Dropout
95,16,1,79.45176833428312,86.75489635104395,60.751032599004574,58.29455107541132,5,3,2,3,3,0,0,Non-Dropout
96,19,1,91.08984710363113,85.91395532514876,60.18975101790246,67.30389485766987,2,2,0,2,1,1,0,Non-Dropout
97,18,1,44.846427744906585,62.938681844141726,23.05422809831945,61.17661236669104,2,4,3,4,5,0,0,Non-Dropout
98,16,1,59.79204110573213,60.982611022347804,91.5356143131139,56.93261615691338,4,3,1,3,3,1,0,Non-Dropout
99,18,1,68.63370475897437,77.82816306010068,100.0,63.843850985339415,4,3,0,2,4,1,0,Non-Dropout
100,17,0,36.18348870300555,78.33548210316579,61.61321347902905,72.21891819418701,8,6,0,2,3,1,0,Non-Dropout
101,11,1,82.72789007163921,58.00470261934307,72.13653031883462,41.63804006464075,9,2,0,3,1,0,0,Non-Dropout
102,10,1,74.63314658466894,89.0659332789488,72.96802298093499,75.40852661339495,10,0,0,5,2,1,0,Non-Dropout
103,16,1,59.49262220069204,69.45404223005761,43.30443827429529,54.11378400368814,8,1,1,3,2,1,0,Non-Dropout
104,16,1,62.24998484748822,97.54641471425755,58.96277843829958,74.2763457607515,10,1,3,1,3,0,0,Non-Dropout
105,17,0,83.80800333235622,73.89182976421304,100.0,54.95324183951564,2,5,2,1,2,1,0,Non-Dropout
106,14,0,53.068430785445514,72.12159539928265,69.90026426296832,75.6999531236934,7,3,3,2,2,1,0,Non-Dropout
107,12,0,84.41278024493431,56.25207100988038,75.5879783748968,64.26573277759927,6,6,1,2,1,1,0,Non-Dropout
108,17,0,61.21941895120568,58.442805297627324,52.658970831136386,51.05875889810983,6,7,2,3,1,1,0,Non-Dropout
109,15,1,76.33994079165375,100.0,59.25103385512777,58.41830169807833,6,2,1,1,4,0,0,Non-Dropout
110,12,0,66.30146308368481,80.37927493977959,86.15729759229257,82.90500795788559,5,1,0,1,2,1,0,Non-Dropout
111,10,0,98.49790769976778,82.78604761045278,49.00999283130524,65.77742546968348,4,4,3,2,2,1,0,Non-Dropout
112,12,0,51.68911414838711,100.0,100.0,58.12947664471594,4,2,0,3,2,1,0,Non-Dropout
113,14,0,56.40076066134599,48.64822759315515,29.593346355822682,82.10805294046106,4,4,1,1,3,1,0,Non-Dropout
114,12,1,42.408117834667536,88.42511434082782,54.17092320962988,77.82749860672031,3,5,0,1,1,1,0,Non-Dropout
115,10,0,48.548642494560184,43.24218270613703,33.00308259059244,52.39661865691055,6,3,2,4,5,1,0,Non-Dropout
116,14,1,75.69692161541775,66.24696115893256,100.0,61.93266149500356,4,5,2,1,3,1,0,Non-Dropout
117,19,0,89.00245458297591,52.098259505829276,69.09316284252242,38.562342015649925,8,5,2,3,2,1,0,Non-Dropout
118,16,1,77.39721305540415,92.17181091864401,62.84026636918058,78.0792946540908,4,4,0,1,4,1,0,Non-Dropout
119,16,1,64.919127504097,37.20547295880752,79.94008686363492,65.06100687040698,5,4,0,3,2,1,0,Non-Dropout
120,18,0,51.5957824751592,70.39830977294409,100.0,75.05240429258471,6,4,0,4,1,0,0,Non-Dropout
121,19,0,78.47628007440726,51.824596136032454,75.40171885134468,36.01843309408168,4,3,0,3,5,1,0,Non-Dropout
122,19,0,50.77097142221243,57.90383254791976,98.56626714906146,60.78714057348924,5,1,0,2,2,1,0,Non-Dropout
123,12,0,44.765723985413615,60.98577671624852,62.65907267766815,67.51384495645519,1,4,1,1,3,1,0,Non-Dropout
124,16,1,60.37296000185143,100.0,45.9665104048184,33.226374683021724,2,1,1,1,5,1,0,Non-Dropout
125,10,1,34.49089074667256,68.29541099936938,75.8053503470088,74.84530047450332,4,2,0,4,2,1,0,Non-Dropout
126,13,0,44.27922688171627,100.0,52.56603320020105,60.14805127780168,3,6,1,3,1,0,0,Non-Dropout
127,13,0,93.28985503824231,100.0,87.21868903708834,38.679248299434576,2,5,1,2,4,0,0,Non-Dropout
128,14,1,41.497873633123966,100.0,59.76679240985764,57.28238319869957,5,3,3,3,3,1,0,Non-Dropout
129,16,0,47.17777428431283,73.82466158095713,67.88643563875031,71.85022416244882,7,4,1,3,3,1,0,Non-Dropout
130,16,1,66.07749361559996,79.20714278742723,13.990016164240984,51.303378648563225,5,6,2,2,1,1,1,Dropout
131,13,0,66.85855820045023,82.5591128572555,66.88196881163162,64.31491299497807,2,7,0,4,3,1,0,Non-Dropout
132,16,1,61.48063553931719,67.65024342878472,63.93537039995584,58.503003359519504,8,0,0,5,3,1,0,Non-Dropout
133,12,1,34.94939376663327,83.48740517683903,99.0740951947765,35.08846786839146,4,4,0,3,2,1,0,Non-Dropout
134,15,1,77.72733991456684,56.296075857267056,91.75268042779501,74.35753081303025,3,1,2,2,4,1,0,Non-Dropout
135,11,1,58.35419900363005,37.4904847440471,70.60545917547792,77.1160365881004,3,4,0,5,2,0,0,Non-Dropout
136,19,1,83.30674283262351,89.28269198843228,29.239046160831627,82.23097122475556,8,2,1,3,2,0,0,Non-Dropout
137,18,0,55.327735677067295,68.00453390566993,58.99419118208299,65.13518543132,5,4,0,3,1,1,0,Non-Dropout
138,14,1,79.73741508710866,55.46616323922275,99.10060221172142,72.26904692952834,3,2,5,1,2,1,0,Non-Dropout
139,15,0,84.44125173619153,57.995473946615114,65.03876619263193,40.789419801033624,10,3,2,2,2,1,1,Dropout
140,13,1,57.9958658636927,100.0,43.33103243532413,68.6018918562402,4,1,2,3,2,1,0,Non-Dropout
141,19,1,78.2067529115847,84.28225581844191,98.79559747670257,60.23075823805239,3,7,0,4,3,0,0,Non-Dropout
142,16,0,45.07182982825404,44.55385635072629,29.412148702524256,63.84567846064681,6,2,1,3,5,0,0,Non-Dropout
143,18,0,68.95534230604241,51.26027174824287,67.17658122387654,48.23989999486217,2,2,1,5,3,0,0,Non-Dropout
144,16,0,83.33341562532259,69.16240788365961,83.95209404365184,81.83995929454002,7,5,0,1,2,1,0,Non-Dropout
145,10,0,72.77739268946186,84.52818716684064,73.15134803567761,40.235375465608286,2,3,1,3,3,0,0,Non-Dropout
146,10,1,100.0,59.10857243254301,38.962019683294685,69.08017475101988,7,4,2,1,4,1,1,Dropout
147,18,0,73.61536988436734,71.54106650309343,46.77018876615939,51.23737706358483,5,5,0,4,5,1,0,Non-Dropout
148,18,1,59.52093121088748,77.29102376460354,52.55058646888109,96.7789929511662,9,6,1,3,5,0,0,Non-Dropout
149,13,0,100.0,77.7053681820535,89.61173793810141,75.43048732990464,3,0,1,2,4,1,0,Non-Dropout
150,18,0,89.50551526021326,27.09727562001487,74.26312868490366,64.57252782786912,4,3,0,2,1,1,0,Non-Dropout
151,12,1,40.95638657302405,79.43282743606129,60.311412137108235,49.58120822524474,5,5,0,5,1,1,0,Non-Dropout
152,16,1,53.237545926075285,40.34280714119302,80.22276639631991,78.35043916257007,4,5,2,4,2,0,0,Non-Dropout
153,15,0,49.42762839438015,69.27203036998088,51.24532934794561,16.03046257208745,7,4,1,3,4,0,0,Non-Dropout
154,17,1,74.68444406763584,64.97169906183004,88.45946938790651,70.76255162336446,7,2,0,4,4,1,0,Non-Dropout
155,18,1,73.56737055225183,53.42534201599628,81.2639476844723,72.6556932032341,3,5,3,1,3,1,0,Non-Dropout
156,14,1,73.45177898593249,91.86334408002432,64.38752150309152,71.77605394835285,5,3,0,4,1,0,0,Non-Dropout
157,10,1,40.55135810751574,52.52048280206489,65.94333652282016,77.56770133275107,7,6,3,4,5,0,0,Non-Dropout
158,12,1,55.42862680092426,64.5412622122507,61.45441428759903,56.52541303443628,8,2,3,4,4,1,0,Non-Dropout
159,19,1,62.760721179145335,92.57468346006381,94.89855056859618,73.23970760926002,3,1,0,3,5,0,0,Non-Dropout
160,17,1,37.671191760189174,63.96999188020679,75.40229615289888,54.95011174586518,3,4,1,3,3,1,0,Non-Dropout
161,15,1,51.922583501631635,59.82980018629149,64.58782878207566,52.544256759967354,8,8,2,3,2,1,0,Non-Dropout
162,17,0,85.34650565248599,69.6368911189474,45.74222742343595,49.51480604192955,2,3,0,4,3,1,0,Non-Dropout
163,18,1,41.68886003045617,85.81005041142197,84.73728861795236,61.22030498203456,5,2,3,3,3,0,0,Non-Dropout
164,13,0,86.82890740577722,100.0,83.56887968625595,81.66836021601662,5,4,1,3,5,0,0,Non-Dropout
165,10,1,81.36723638803254,56.27756804124351,56.85893955249488,90.72614191180551,3,7,3,1,3,1,0,Non-Dropout
166,10,1,60.63894170293278,57.89836069067819,59.49607645193488,60.9437018441386,7,2,0,5,4,1,0,Non-Dropout
167,19,1,55.26690500948473,69.47329190146931,67.07464361628567,55.325481323526404,4,4,0,2,2,1,0,Non-Dropout
168,13,1,77.4774143321795,79.60281302534351,41.15935847773931,84.94147557641574,4,2,0,4,1,1,0,Non-Dropout
169,16,0,53.183897586565536,59.59506672005283,71.84267047261146,71.5014119397037,4,7,2,3,2,0,0,Non-Dropout
170,11,0,53.93003075080814,88.77126735772309,28.864054043455063,65.4359017420389,5,2,3,5,1,1,0,Non-Dropout
171,12,1,64.64197393992907,56.654444970948745,38.01326406426777,48.41327144323195,7,2,2,5,4,0,0,Non-Dropout
172,10,0,33.04649606319623,36.982908210080744,57.26013987209585,86.47552498575376,2,2,1,2,4,1,0,Non-Dropout
173,14,1,43.25036602397441,85.63550562331355,54.29262280954935,66.40527243010293,5,2,1,4,4,1,0,Non-Dropout
174,10,1,60.26508126497775,87.9517894629249,81.28477315890147,65.00239695561555,7,0,1,1,2,1,0,Non-Dropout
175,17,0,72.13544048318899,95.89301271265519,77.0749345255615,73.12512881225781,5,3,0,2,4,1,0,Non-Dropout
176,10,0,52.976390928819825,35.16200405685751,100.0,65.32847380217119,0,1,4,3,2,1,0,Non-Dropout
177,10,1,62.03584282967476,61.68769896954291,72.32119546965505,87.1195496767057,4,6,3,2,3,0,0,Non-Dropout
178,11,1,40.79810887793552,69.97883663602516,75.15324920577685,80.17701473602081,0,4,0,1,2,0,0,Non-Dropout
179,11,0,78.9872577840548,100.0,40.92364329366396,56.58004173801621,3,2,1,2,1,0,0,Non-Dropout
180,15,1,68.30123494341473,71.81597210041882,40.97558185879632,66.30351398359737,9,2,1,2,3,0,0,Non-Dropout
181,16,0,69.62818853958825,48.0696662394908,71.61066684330552,56.21870508744203,3,1,2,5,3,1,0,Non-Dropout
182,14,1,72.32375926977343,80.93480929509585,72.04279815650548,93.34046175413927,5,6,0,1,5,0,0,Non-Dropout
183,10,1,66.17191255242179,100.0,77.23975915723682,54.15681906876226,5,2,1,1,4,0,0,Non-Dropout
184,10,0,57.74340862139001,96.93277885921671,100.0,63.214575922545414,6,3,0,1,4,1,0,Non-Dropout
185,12,0,81.94481823080463,86.23596328655597,42.07981408901211,70.45889966132191,2,5,1,2,3,0,0,Non-Dropout
186,11,0,67.3532172164116,80.2526473421633,100.0,72.58579172159305,6,4,1,1,2,0,0,Non-Dropout
187,14,1,62.514208569898635,29.64495381098216,32.74974266837627,75.11868704533047,5,1,0,1,2,1,1,Dropout
188,19,1,64.87018019119245,75.51332910107425,79.32351221268058,77.01449831490034,5,4,1,2,4,0,0,Non-Dropout
189,15,1,64.5505240026689,78.56280525063472,38.8411526209812,75.39290084118545,4,2,0,4,1,0,0,Non-Dropout
190,16,1,62.36351594112032,71.80180651497814,88.10342830691523,58.50539457981523,5,5,2,1,3,1,0,Non-Dropout
191,13,0,71.69159543761862,89.1419977497873,32.904133653066445,56.80461322480277,2,2,0,1,3,1,0,Non-Dropout
192,16,1,50.96209666816447,71.4800439445461,1.6881414612979313,65.57344809295114,4,2,1,4,2,0,0,Non-Dropout
193,17,1,52.05813446389538,67.628735899944,73.64674884948141,56.72451991333309,1,7,1,2,2,0,0,Non-Dropout
194,10,1,73.38895534142954,95.77995443304509,66.87549476117306,55.13422790872372,5,3,0,3,4,1,0,Non-Dropout
195,15,0,62.82140988908306,66.72822572448634,97.65176102327698,58.67091913236574,6,3,0,4,1,0,0,Non-Dropout
196,17,1,79.57089653214643,76.29308144278247,71.94664464564438,96.53202041396757,3,6,2,2,3,0,0,Non-Dropout
197,14,1,71.13318500947796,92.95062559363765,51.37863793259568,88.1573419307676,3,2,2,1,2,1,0,Non-Dropout
198,13,0,56.71058134885652,54.78662497493555,56.50474859510475,61.41230019098806,3,6,0,2,2,1,0,Non-Dropout
199,11,1,73.62644544693012,52.616273356772616,100.0,34.00229870675601,7,6,1,4,4,0,0,Non-Dropout
200,15,1,82.95786436938404,100.0,48.13563184730242,56.14562992380489,10,2,0,1,2,1,0,Non-Dropout
201,15,0,71.70469334181881,63.14575992627183,83.11372960163578,78.20031496738055,10,2,3,3,5,0,0,Non-Dropout
202,10,1,74.98377414600195,88.84864863372201,80.0549950597113,41.51695854278923,11,4,0,2,3,0,0,Non-Dropout
203,18,1,62.42343724094896,39.49357936319453,83.69652468917864,74.05764451062697,4,2,1,3,2,1,0,Non-Dropout
204,15,1,79.89559824320754,24.938968137826627,81.65534826776288,73.09570368711006,5,0,2,4,2,1,0,Non-Dropout
205,12,0,56.28964377605534,82.2846011669052,63.30955695248015,65.25987064029616,5,2,0,4,3,0,0,Non-Dropout
206,13,1,70.07814538610775,72.4495869642105,25.948780611493284,64.43594364069195,2,3,0,5,2,1,0,Non-Dropout
207,13,1,100.0,82.47262883328094,73.89077216249572,51.43135050383961,6,2,0,1,3,1,0,Non-Dropout
208,12,0,73.0832158403849,100.0,69.6794847105901,75.4523588464419,6,3,2,2,3,0,0,Non-Dropout
209,19,0,58.68933154112197,50.2531636017523,73.0982979675902,69.64870000619686,7,1,3,3,1,0,0,Non-Dropout
210,12,1,58.650616374629,75.7637578849286,84.13079872191375,57.790578604091635,8,2,1,4,3,0,0,Non-Dropout
211,12,1,63.92987454064483,100.0,59.65956047755606,53.224806071229644,5,3,1,4,3,1,0,Non-Dropout
212,13,1,77.76868672594117,53.14019773006682,54.492727869815965,47.09863057787789,6,5,0,2,4,1,0,Non-Dropout
213,16,1,67.18666263751074,63.30545928454334,92.52107806534816,70.5728144802469,5,5,0,1,5,1,0,Non-Dropout
214,13,0,55.27208280142405,39.654295919968014,61.778829583517464,61.96634424375482,3,9,3,2,2,0,1,Dropout
215,18,1,55.24554510816965,100.0,57.6570376969659,62.157555118989826,3,5,1,2,4,1,0,Non-Dropout
216,10,0,67.28073996534471,30.909189876643836,55.49392885388897,41.58228232215658,2,3,0,3,2,0,0,Non-Dropout
217,17,0,65.63592480108186,90.97171405286885,84.86422217288329,48.57237622796812,3,2,1,1,2,1,0,Non-Dropout
218,16,1,71.82464253678532,48.60400078439642,64.75585388880302,46.94089479138266,4,1,0,3,5,0,0,Non-Dropout
219,11,1,78.76234843677342,53.98215535202608,100.0,76.53125712877362,12,2,3,5,3,0,0,Non-Dropout
220,17,0,100.0,96.27907874446436,71.43619787749802,67.57549896112745,7,4,0,3,1,0,0,Non-Dropout
221,10,0,43.069497248485995,60.14979135411114,39.83494702548306,60.75523890513594,8,1,0,5,5,1,0,Non-Dropout
222,18,1,75.30293190929662,88.03575142454139,59.078149370552396,81.58341358233541,3,2,0,3,2,1,0,Non-Dropout
223,18,0,66.47461562582436,100.0,86.38301988883266,79.4618905436963,6,5,0,3,3,1,0,Non-Dropout
224,11,1,37.33135653334117,79.01393971304724,54.99571811264033,81.58153516838874,6,1,2,3,5,1,0,Non-Dropout
225,16,1,83.74296085477592,92.78571698428327,69.56953804412508,61.369339550091986,6,1,0,5,3,1,0,Non-Dropout
226,19,0,71.31759839872922,76.61346391205366,94.46138510781452,43.78446783668903,3,7,2,2,3,0,0,Non-Dropout
227,12,0,76.99709439230234,77.54012170557093,98.22168882375176,90.59748618745905,5,0,0,4,1,1,0,Non-Dropout
228,16,1,39.50871582353476,62.301418083235454,56.88955396168358,72.86313184258991,6,1,1,1,4,1,0,Non-Dropout
229,19,0,61.693746087526875,100.0,63.57942465587277,73.17399834616405,4,3,1,4,3,0,0,Non-Dropout
230,18,1,48.81204582658556,89.8568898823066,72.42061654226336,75.13803624192084,6,3,0,2,2,0,0,Non-Dropout
231,13,1,97.44651414020917,85.43610548905347,100.0,100.0,5,5,0,1,1,1,0,Non-Dropout
232,10,1,82.16825518616572,90.40589516159207,42.50491775889498,63.49339208340351,8,2,2,3,2,1,0,Non-Dropout
233,11,0,54.78548325071807,61.45419329767314,78.99311991154113,86.54724236444041,7,2,1,3,5,1,0,Non-Dropout
234,10,1,41.950416485755966,93.61943771704897,71.3860212708054,52.21078253091329,4,2,0,2,2,0,0,Non-Dropout
